fold,run_id,route,duration_s,model_err_m,baseline_err_m,oracle_err_m,model_drift_pct
0,S-M#0,M/M (Driver B),10.0,12.645,49.308,2.155,18.173
0,S-M#0,M/M (Driver B),10.0,8.424,46.34,0.694,11.271
0,S-M#0,M/M (Driver B),10.0,5.905,2.257,2.409,7.454
0,S-M#0,M/M (Driver B),10.0,6.49,100.274,2.943,9.839
0,S-M#0,M/M (Driver B),10.0,9.317,8.126,0.901,11.871
0,S-M#0,M/M (Driver B),10.0,6.142,33.085,1.412,9.033
0,S-M#0,M/M (Driver B),10.0,11.702,40.678,1.986,28.363
0,S-M#0,M/M (Driver B),10.0,8.777,14.435,0.18,10.278
0,S-M#0,M/M (Driver B),10.0,3.937,70.114,3.152,6.639
0,S-M#0,M/M (Driver B),10.0,13.751,17.95,0.34,18.234
0,S-M#0,M/M (Driver B),10.0,17.82,5.594,0.348,24.045
0,S-M#0,M/M (Driver B),10.0,13.129,7.727,0.966,16.953
0,S-M#0,M/M (Driver B),10.0,25.093,11.564,0.848,37.092
0,S-M#0,M/M (Driver B),10.0,8.246,78.234,2.12,13.387
0,S-M#0,M/M (Driver B),10.0,15.798,61.297,2.027,60.092
0,S-M#0,M/M (Driver B),10.0,4.779,34.066,1.018,6.034
0,S-M#0,M/M (Driver B),10.0,5.732,4.057,0.513,6.208
0,S-M#0,M/M (Driver B),10.0,9.35,3.216,0.319,10.244
0,S-M#0,M/M (Driver B),10.0,14.563,35.95,0.41,15.641
0,S-M#0,M/M (Driver B),10.0,3.474,3.357,0.449,3.889
0,S-M#0,M/M (Driver B),10.0,5.985,74.292,2.936,9.085
0,S-M#0,M/M (Driver B),10.0,7.634,10.135,2.068,11.333
0,S-M#0,M/M (Driver B),10.0,2.436,78.645,1.693,3.505
0,S-M#0,M/M (Driver B),10.0,9.405,1.661,0.874,11.586
0,S-M#0,M/M (Driver B),10.0,21.604,27.476,1.368,44.273
0,S-M#0,M/M (Driver B),10.0,1.54,38.47,1.054,2.047
0,S-M#0,M/M (Driver B),10.0,11.23,46.097,1.07,41.743
0,S-M#0,M/M (Driver B),10.0,9.259,26.322,1.009,31.985
0,S-M#0,M/M (Driver B),10.0,12.824,49.334,3.806,14.777
0,S-M#0,M/M (Driver B),10.0,12.521,106.397,2.837,13.775
0,S-M#0,M/M (Driver B),10.0,16.915,13.948,2.19,20.617
0,S-M#0,M/M (Driver B),10.0,5.388,27.269,1.63,8.088
0,S-M#0,M/M (Driver B),10.0,21.682,25.029,1.095,36.475
0,S-M#0,M/M (Driver B),10.0,16.787,17.961,0.198,20.874
0,S-M#0,M/M (Driver B),10.0,10.212,26.007,0.828,11.886
0,S-M#0,M/M (Driver B),10.0,12.2,7.633,0.54,13.79
0,S-M#0,M/M (Driver B),10.0,11.408,62.445,2.349,17.086
0,S-M#0,M/M (Driver B),10.0,13.255,59.97,2.02,30.573
0,S-M#0,M/M (Driver B),10.0,21.381,46.001,3.024,68.735
0,S-M#0,M/M (Driver B),10.0,5.668,5.875,1.194,125.526
0,S-M#0,M/M (Driver B),10.0,5.509,29.59,5.247,13.45
0,S-M#0,M/M (Driver B),10.0,3.432,76.015,2.222,7.525
0,S-M#0,M/M (Driver B),10.0,3.143,10.67,1.692,26.842
0,S-M#0,M/M (Driver B),10.0,8.82,11.541,0.284,11.234
0,S-M#0,M/M (Driver B),10.0,5.196,123.394,1.18,6.636
0,S-M#0,M/M (Driver B),10.0,3.014,17.073,1.243,3.194
0,S-M#0,M/M (Driver B),10.0,1.987,12.108,1.388,1.917
0,S-M#0,M/M (Driver B),10.0,19.918,17.198,0.524,19.416
0,S-M#0,M/M (Driver B),10.0,4.757,105.309,3.699,7.231
0,S-M#0,M/M (Driver B),10.0,4.842,37.435,1.183,20.688
0,S-M#0,M/M (Driver B),10.0,9.252,3.477,10.244,80.497
0,S-M#0,M/M (Driver B),10.0,8.854,11.0,0.508,14.899
0,S-M#0,M/M (Driver B),10.0,7.79,30.109,2.308,24.644
0,S-M#0,M/M (Driver B),10.0,7.277,9.263,1.269,7.991
0,S-M#0,M/M (Driver B),10.0,8.266,5.829,2.053,9.065
0,S-M#0,M/M (Driver B),10.0,2.892,6.656,0.949,3.179
0,S-M#0,M/M (Driver B),10.0,9.353,47.697,0.32,10.894
0,S-M#0,M/M (Driver B),10.0,9.256,72.223,2.489,16.202
0,S-M#0,M/M (Driver B),10.0,3.269,57.388,1.227,16.784
0,S-M#0,M/M (Driver B),10.0,3.087,6.597,0.915,48.696
0,S-M#0,M/M (Driver B),10.0,4.874,28.934,2.339,5.693
0,S-M#0,M/M (Driver B),10.0,6.937,7.834,0.431,6.382
0,S-M#0,M/M (Driver B),10.0,5.783,5.254,0.282,5.247
0,S-M#0,M/M (Driver B),10.0,4.168,9.596,1.311,3.847
0,S-M#0,M/M (Driver B),10.0,9.544,95.949,2.495,13.397
0,S-M#0,M/M (Driver B),10.0,13.177,38.071,1.969,14.64
0,S-M#0,M/M (Driver B),10.0,6.627,96.046,1.704,9.781
0,S-M#0,M/M (Driver B),10.0,25.085,70.523,2.956,38.212
0,S-M#0,M/M (Driver B),10.0,14.086,36.463,1.734,17.671
0,S-M#0,M/M (Driver B),10.0,17.561,28.286,1.093,23.068
0,S-M#0,M/M (Driver B),10.0,5.155,57.787,3.162,10.023
0,S-M#0,M/M (Driver B),10.0,7.3,44.267,2.485,10.049
0,S-M#0,M/M (Driver B),10.0,10.069,14.604,1.319,12.789
0,S-M#0,M/M (Driver B),10.0,3.081,67.108,2.894,4.049
0,S-M#0,M/M (Driver B),10.0,12.905,46.359,3.505,16.008
0,S-M#0,M/M (Driver B),10.0,0.819,28.884,0.652,5.896
0,S-M#0,M/M (Driver B),10.0,14.301,88.497,3.502,21.163
0,S-M#0,M/M (Driver B),10.0,21.599,22.218,1.733,37.904
0,S-M#0,M/M (Driver B),10.0,12.425,37.865,2.569,16.444
0,S-M#0,M/M (Driver B),10.0,6.426,63.879,2.64,10.059
0,S-M#0,M/M (Driver B),10.0,21.451,65.391,1.83,56.632
0,S-M#0,M/M (Driver B),10.0,5.186,6.12,0.617,74.238
0,S-M#0,M/M (Driver B),10.0,4.079,3.33,0.211,395.222
0,S-M#0,M/M (Driver B),10.0,6.461,48.231,0.566,12.086
0,S-M#0,M/M (Driver B),10.0,4.047,1.817,0.459,5.117
0,S-M#0,M/M (Driver B),10.0,4.737,112.728,5.021,6.343
0,S-M#0,M/M (Driver B),10.0,12.427,0.52,0.735,17.476
0,S-M#0,M/M (Driver B),10.0,7.979,66.142,1.938,11.219
0,S-M#0,M/M (Driver B),10.0,20.694,20.423,1.668,24.99
0,S-M#0,M/M (Driver B),10.0,9.323,58.318,3.712,21.387
0,S-M#0,M/M (Driver B),10.0,5.788,22.484,2.307,5.499
0,S-M#0,M/M (Driver B),10.0,3.861,15.397,2.161,3.564
0,S-M#0,M/M (Driver B),10.0,1.595,10.935,2.962,1.683
0,S-M#0,M/M (Driver B),10.0,2.117,2.19,1.36,2.108
0,S-M#0,M/M (Driver B),10.0,20.163,13.734,1.802,22.123
0,S-M#0,M/M (Driver B),10.0,17.86,8.496,1.772,35.095
0,S-M#0,M/M (Driver B),10.0,11.527,134.601,1.362,12.499
0,S-M#0,M/M (Driver B),10.0,14.907,11.88,1.558,11.087
0,S-M#0,M/M (Driver B),10.0,7.36,27.208,2.881,5.781
0,S-M#0,M/M (Driver B),10.0,5.068,2.912,1.811,4.069
0,S-M#0,M/M (Driver B),10.0,8.07,12.146,1.133,6.414
0,S-M#0,M/M (Driver B),10.0,4.423,2.566,3.13,3.501
0,S-M#0,M/M (Driver B),10.0,3.053,1.705,1.631,2.428
0,S-M#0,M/M (Driver B),10.0,7.635,1.921,1.116,6.071
0,S-M#0,M/M (Driver B),10.0,4.206,3.02,3.454,3.377
0,S-M#0,M/M (Driver B),10.0,3.359,2.452,2.65,2.666
0,S-M#0,M/M (Driver B),10.0,6.16,70.321,3.778,7.034
0,S-M#0,M/M (Driver B),10.0,28.237,25.927,0.537,23.359
0,S-M#0,M/M (Driver B),10.0,13.463,9.673,1.509,8.783
0,S-M#0,M/M (Driver B),10.0,18.925,9.387,2.887,11.159
0,S-M#0,M/M (Driver B),10.0,5.113,16.66,3.444,3.303
0,S-M#0,M/M (Driver B),10.0,23.479,36.673,2.841,31.965
0,S-M#0,M/M (Driver B),10.0,3.704,141.881,1.292,4.366
0,S-M#0,M/M (Driver B),10.0,20.716,50.843,2.745,17.509
0,S-M#0,M/M (Driver B),10.0,0.809,18.573,5.26,0.712
0,S-M#0,M/M (Driver B),10.0,2.485,48.55,2.356,3.483
0,S-M#0,M/M (Driver B),10.0,7.751,6.655,2.917,8.395
0,S-M#0,M/M (Driver B),10.0,4.324,43.539,2.229,3.669
0,S-M#0,M/M (Driver B),10.0,14.623,31.761,0.663,10.69
0,S-M#0,M/M (Driver B),10.0,11.381,121.73,5.173,8.039
0,S-M#0,M/M (Driver B),10.0,4.075,8.769,3.294,2.957
0,S-M#0,M/M (Driver B),10.0,14.146,79.832,3.216,14.78
0,S-M#0,M/M (Driver B),10.0,9.089,43.9,1.883,9.604
0,S-M#0,M/M (Driver B),10.0,20.495,29.729,17.446,16.64
0,S-M#0,M/M (Driver B),10.0,23.124,56.917,3.26,15.326
0,S-M#0,M/M (Driver B),10.0,74.045,51.748,5.414,47.078
0,S-M#0,M/M (Driver B),10.0,55.984,47.26,3.131,42.826
0,S-M#0,M/M (Driver B),10.0,11.276,35.454,2.668,6.625
0,S-M#0,M/M (Driver B),10.0,34.797,27.924,3.496,17.298
0,S-M#0,M/M (Driver B),10.0,11.611,66.335,1.606,9.004
0,S-M#0,M/M (Driver B),10.0,19.695,80.981,4.637,14.238
0,S-M#0,M/M (Driver B),10.0,35.706,139.623,5.981,34.594
0,S-M#0,M/M (Driver B),10.0,17.15,28.968,1.126,8.642
